,0,1,2
0,1458.597966,1500.370841,1416.10046
1,1443.97746,1489.373492,1480.592663
2,1431.488223,1531.146367,1530.421736
3,1429.314328,1546.53413,1561.921893
4,1446.875986,1569.253459,1605.868663
5,1433.704743,1583.149334,1648.366169
6,1409.536151,1563.371156,1655.697735
7,1434.429374,1588.26438,1715.032267
8,1436.645894,1610.259077,1711.366485
9,1423.432025,1625.64684,1745.807794
10,1373.645578,1630.761886,1745.807794
11,1397.089539,1679.866327,1732.593925
12,1389.757973,1657.146998,1749.473577
13,1358.982447,1689.371787,1780.973734
14,1324.541138,1703.310287,1744.315905
15,1356.765927,1715.756899,1766.310603
16,1311.369895,1727.478879,1744.315905
17,1325.265769,1734.085813,1736.984339
18,1325.265769,1734.810445,1747.981688
19,1284.260151,1741.374754,1719.422682
20,1312.094526,1745.807794,1721.596576
21,1262.265454,1773.642168,1697.427984
22,1288.650566,1791.203826,1695.978721
23,1276.203954,1761.195557,1667.419715
24,1255.701145,1750.92284,1624.922209
25,1247.602322,1747.981688,1631.486518
26,1238.821493,1777.307951,1627.096103
27,1277.653217,1741.374754,1573.643873
28,1255.701145,1739.925491,1563.371156
29,1243.979165,1732.593925,1568.486202
30,1267.3805,1670.318241,1548.708025
31,1264.481974,1650.540064,1512.817453
32,1251.268105,1653.481215,1526.031321
33,1288.650566,1630.037255,1476.92688
34,1250.543474,1569.978091,1487.199598
35,1294.490243,1528.929847,1485.707709
36,1268.872388,1520.87365,1454.932183
37,1305.487592,1450.541769,1429.314328
38,1289.375197,1414.651196,1448.367874
39,1319.426092,1393.423756,1424.199282
40,1329.656184,1315.760309,1411.710045
41,1300.372546,1280.594368,1445.426723
42,1342.870052,1254.933888,1441.036308
43,1308.428743,1205.872073,1422.707394
44,1325.265769,1155.318369,1411.710045
45,1344.319315,1093.042685,1424.199282
46,1356.041295,1084.261856,1431.488223
47,1376.544104,1023.435435,1416.10046
48,1338.479638,1016.10387,1423.432025
49,1386.816822,999.2668434,1453.48292
50,1353.867401,975.0982515,1425.648545
51,1380.934519,953.8281856,1415.375828
52,1401.479953,918.662245,1411.710045
53,1403.653848,884.2635613,1411.710045
54,1408.811519,893.7690216,1438.819788
55,1397.81417,905.4910018,1420.533499
56,1387.541453,862.2688639,1390.482605
57,1381.701776,890.8278702,1402.929216
58,1389.757973,871.8169496,1408.044262
59,1412.477302,887.9293442,1394.873019
60,1427.097808,901.1005874,1371.429059
61,1421.258131,874.7154756,1359.707078
62,1445.426723,892.3197586,1344.319315
63,1438.095157,912.0979361,1281.319
64,1450.541769,962.6516398,1284.984783
65,1452.033657,986.0956002,1282.043631
66,1433.704743,966.3174227,1238.821493
67,1417.592348,1033.708153,1207.321336
68,1455.69944,1043.213613,1230.040665
69,1428.589697,1058.601376,1172.880027
70,1432.980111,1093.767317,1198.540507
71,1451.2664,1115.762014,1179.486961
72,1425.648545,1142.147126,1140.655237
73,1398.538802,1145.770283,1117.935908
74,1434.429374,1148.711435,1115.037382
75,1409.536151,1150.927955,1132.59904
76,1386.09219,1177.270441,1123.09358
77,1356.041295,1153.869106,1111.3716
78,1338.479638,1195.599356,1103.315402
79,1350.92625,1185.369264,1103.315402
80,1311.369895,1178.762329,1095.259205
81,1295.2575,1175.096546,1085.711119
82,1304.76296,1156.767632,1089.376902
83,1304.038329,1150.927955,1089.376902
84,1289.375197,1131.149777,1104.040034
85,1251.268105,1113.545494,1106.981185
86,1240.313382,1054.210962,1099.649619
87,1231.489928,1064.483679,1126.759363
88,1261.540822,1068.149462,1175.821178
89,1252.759994,1016.10387,1179.486961
90,1245.428428,1030.767001,1203.655553
91,1235.155711,992.6599091,1211.71175
92,1227.824145,1010.988824,1214.652902
93,1230.040665,1001.483363,1278.377848
94,1205.872073,976.5475145,1300.372546
95,1183.152744,983.8790803,1325.265769
96,1191.208941,953.1035541,1322.367243
97,1192.658204,995.6010605,1384.600302
98,1186.818527,986.0956002,1386.816822
99,1191.208941,977.272146,1394.873019
100,1179.486961,967.7666857,1430.763591
101,1163.374566,1000.716106,1449.092506
102,1174.371915,1003.657258,1479.868032
103,1142.147126,988.2694947,1452.033657
104,1145.770283,1026.376587,1493.763907
105,1167.040349,1016.871126,1462.263749
106,1136.989454,1055.660225,1490.865381
107,1147.262172,1079.104185,1462.98838
108,1131.149777,1102.548145,1462.263749
109,1155.318369,1117.211277,1478.376143
110,1171.430764,1123.09358,1460.814486
111,1175.096546,1124.542843,1444.702091
112,1174.371915,1138.481343,1477.651512
113,1186.093895,1177.270441,1471.811835
114,1190.48431,1199.265138,1444.702091
115,1209.537856,1191.208941,1460.089854
116,1210.987119,1213.92827,1461.539117
117,1246.153059,1241.762645,1442.485571
118,1255.701145,1247.602322,1421.982762
119,1278.377848,1249.094211,1427.097808
120,1300.372546,1254.209257,1476.92688
121,1362.64823,1287.201303,1461.539117
122,1405.145736,1295.2575,1461.539117
123,1462.98838,1259.324302,1506.210518
124,1485.707709,1271.046283,1508.427038
125,1512.092821,1282.043631,1527.480584
126,1564.820419,1294.490243,1577.309656
127,1626.371472,1295.982131,1594.871314
128,1682.807478,1280.594368,1661.537412
129,1698.919873,1246.153059,1686.430636
130,1723.088465,1273.987434,1712.815748
131,1764.818714,1243.979165,1728.203511
132,1797.81076,1243.211908,1768.484497
133,1790.479195,1221.984467,1813.923155
134,1832.252069,1197.815875,1846.147944
135,1823.428615,1225.65025,1854.928773
136,1813.923155,1196.323987,1879.13999
137,1795.59424,1210.262487,1906.974365
138,1799.260023,1158.984152,1902.583951
139,1765.585971,1171.430764,1911.364779
140,1767.759866,1193.425461,1916.479825
141,1718.69805,1150.927955,1908.423628
142,1690.863676,1189.759678,1898.918168
143,1671.810129,1158.984152,1915.030562
144,1636.644189,1193.425461,1881.313885
145,1630.037255,1174.371915,1885.704299
146,1556.03959,1218.318684,1844.698681
147,1534.81215,1213.203639,1811.706635
148,1520.87365,1235.155711,1813.923155
149,1451.2664,1235.155711,1797.81076
150,1462.263749,1241.038013,1769.976386
151,1421.982762,1268.872388,1728.203511
152,1406.594999,1285.709414,1720.871945
153,1345.043947,1296.706763,1662.986675
154,1350.92625,1349.434361,1639.542715
155,1301.097177,1344.319315,1615.374123
156,1318.70146,1353.867401,1617.590643
157,1272.538171,1402.929216,1571.427354
158,1288.650566,1382.426407,1581.700071
159,1301.821809,1440.311677,1547.258762
160,1263.757342,1420.533499,1531.146367
161,1306.97948,1449.092506,1527.480584
162,1307.704112,1495.255795,1507.702407
163,1295.2575,1495.255795,1543.592979
164,1349.434361,1496.705058,1521.598281
165,1341.378164,1506.210518,1517.932498
166,1352.375513,1541.376459,1501.820104
167,1387.541453,1532.59563,1534.81215
168,1441.76094,1530.421736,1548.708025
169,1421.982762,1563.371156,1541.376459
170,1479.1434,1552.373808,1534.087518
171,1494.488538,1558.25611,1554.590327
172,1485.707709,1569.253459,1586.090485
173,1512.092821,1547.983393,1578.758919
174,1542.868347,1542.868347,1599.261728
175,1536.986044,1571.427354,1636.644189
176,1534.81215,1518.699755,1624.197577
177,1551.649176,1523.09017,1617.590643
178,1585.365854,1495.980426,1630.761886
179,1556.03959,1474.710361,1642.483866
